Generated by AssetExportManager	export.2022-05-23.10-48-22		filenameFormat:none
file	assetId	att:Title:3	att:English Translation:834	att:Caption:705	att:Description:4	att:Keywords:701	att:Author/Creator/Photographer:706	folders	att:Date Created:7	att:Event:710	att:Horticultural Practices/Grounds maintenance:712	att:Location:713	att:Gate:711	att:Road:718	att:People:714	att:Year:720	att:Alternative Date:835	att:Month:721	att:Season:719	att:Published in, Year:716	att:Projects:715	att:Image Rating:722	att:Asset Location:723	att:Active Status:21	att:Activation Date:22	att:Expiry Date:23	att:Usage Rights:30	att:Copyright:707	att:Credit:708	att:Release Signed:717	att:DRS Number:724	att:OLIVIA Work Number:725	att:Other ID Number:726	att:MD5:727	att:Note:728	att:Plant Accession Number and Qualifier:764	att:Plant Name HTML:741	att:Family:743	att:Genus:744	att:Species:745	att:Scientific Name:746	att:Common Name:747	att:Plant Grid:776	att:Plant Collection:838	att:Horticultural Management Zone:849	att:Pest and Disease:839	att:Plant Accession Number:748	att:Plant Accession Date:749	att:Current Plant Location:754	att:Plant Collector:755	att:Garden Location:850	att:Plant Country:759	att:Locality:760	att:Sublocality:761	att:Geographic Area:762	att:Cultivar:763	att:Abbreviate Name:765	att:Genus Hybrid:767	att:Species Hybrid:769	att:Infraspecific Rank:771	att:Infraspecific Epithet:772	att:Plant Award:773	att:Plant Is Dead:774	att:Plant Is Mapped:775	att:Flickr ID:778	att:Flickr Metadata:779	att: Plant Character:780	att:Watermark Text:781	att:Link to ARB Explorer:782	att:Link to PowerPoint:783	att:Journal/Book Title:730	att:Publication Place and Publisher:732	att:Volume Number:733	att:Issue Number:734	att:Page Number:735	att:ISSN:736	att:ISBN:737	att:Edition:738	att:Publication Year:841	att:Publication Section:836	att:Article Sequence No. In Issue:848	att:Publication Citation:837	att:Publication URL:739	att:Bench Number:785	att:Bench Name:786	att:Honoree:787	att:Bench IMO/IHO:842	att:Bench Dedication Date:789	att:Bench Dedication Expiration Date:843	att:Total in Gifts:791	att:Bench Location:792	att:Bench Type:844	att:Bench Source:794	att:Bench Accession:795	att:Bench Accession Tag:796	att:Bench Commemorative Plaque Text:845	att:Plaque Source:798	att:Donor1:799	att:Donor1 Relationship to Honoree:800	att:Donor1 Gift Date:803	att:Donor2:804	att:Donor2 Relationship to Honoree:805	att:Donor2 Gift Date:808	att:Donor3:809	att:Donor3 Relationship to Honoree:810	att:Donor3 Gift Date:813	att:Donor4:814	att:Donor4 Relationship to Honoree:815	att:Donor4 Gift Date:818	att:Donor5:819	att:Donor5 Relationship to Honoree:820	att:Donor5 Gift Date:824	att:Bench Notes:825	att:Repair/Refinishing Work:826	att:Bench Latest Refinish/Revarnish Date:847	att:Bench Latest Repair/General Maintenance Date:846	dateAdded	addedBy	dateLastModified	lastModifiedBy	dateLastDownloaded	att:File Type:827	orientation	size	att:File Height:829	att:File Width:828	originalFilename	version	att:Donor1 Advance Number:851	att:Donor1 Amount:852	att:Donor2 Advance Number:853	att:Donor2 Amount:854	att:Donor3 Advance Number:855	att:Donor3 Amount:856	att:Donor4 Advance Number:859	att:Donor4 Amount:860	att:Donor5 Advance Number:861	att:Donor5 Amount:862	att:Plant Alternate Name:864	att:Plant Source:865	att:Alt text:866	approved	previewrestricted	advancedViewing	author	code	expiryDate	entityName	relatedAssets	childAssets	parentAssets
thumbABIES_X_BORISII-REGIS_FR_531-79-B_SDTEXT.JPG	16628	Abies x borisii-regis fr. 531-79-B						SHIP images/ABIES	2006-05-04 16:20:39															Active																																																																																													2021-02-23 14:32:16	Matthew Caulkins	2021-02-23 14:45:00	Matthew Caulkins		Image (jpg)	Landscape	27069	150	200	thumbABIES_X_BORISII-REGIS_FR_531-79-B_SDTEXT.JPG	1														SHIP images/ABIES	false	false		16628		General			
thumbABIES_X_BORISII-REGIS_FR_531-79-B_SDSTEXT.JPG	16627	Abies x borisii-regis fr. 531-79-B						SHIP images/ABIES	2006-05-04 16:19:45															Active																																																																																													2021-02-23 14:32:13	Matthew Caulkins	2021-02-23 14:45:44	Matthew Caulkins		Image (jpg)	Landscape	26308	150	200	thumbABIES_X_BORISII-REGIS_FR_531-79-B_SDSTEXT.JPG	1														SHIP images/ABIES	false	false		16627		General			
thumbABIES_X_BORISII-REGIS_531-79-B_SDSTEXT.JPG	16626	Abies x borisii-regis fr. 531-79-B						SHIP images/ABIES	2006-05-04 16:19:45															Active																																																																																													2021-02-23 14:32:11	Matthew Caulkins	2021-02-23 14:45:44	Matthew Caulkins		Image (jpg)	Landscape	23753	127	200	thumbABIES_X_BORISII-REGIS_531-79-B_SDSTEXT.JPG	1														SHIP images/ABIES	false	false		16626		General			
thumbABIES_PINSAPO_864-63_SDTEXT.JPG	16625	Abies_pinsapo_864-63_SD						SHIP images/ABIES	2006-05-04 16:06:48															Active																																																																																													2021-02-23 14:32:09	Matthew Caulkins	2021-02-23 14:45:44	Matthew Caulkins		Image (jpg)	Landscape	23238	150	200	thumbABIES_PINSAPO_864-63_SDTEXT.JPG	1														SHIP images/ABIES	false	false		16625		General			
thumbABIES_PINSAPO_864-63_SDSTEXT.JPG	16624	Abies_pinsapo_864-63_SDS						SHIP images/ABIES	2006-05-04 16:08:36															Active																																																																																													2021-02-23 14:32:07	Matthew Caulkins	2021-02-23 14:45:44	Matthew Caulkins		Image (jpg)	Landscape	25732	150	200	thumbABIES_PINSAPO_864-63_SDSTEXT.JPG	1														SHIP images/ABIES	false	false		16624		General			
thumbABIES_NEPHROLEPIS_352-97_SDTEXT.JPG	16623	Abies_nephrolepis_352-97_SD						SHIP images/ABIES	2006-05-04 15:35:19															Active																																																																																													2021-02-23 14:32:05	Matthew Caulkins	2021-02-23 14:45:44	Matthew Caulkins		Image (jpg)	Landscape	23525	150	200	thumbABIES_NEPHROLEPIS_352-97_SDTEXT.JPG	1														SHIP images/ABIES	false	false		16623		General			
thumbABIES_NEPHROLEPIS_352-97_SDSTEXT.JPG	16622	Abies_nephrolepis_352-97_SDS						SHIP images/ABIES	2006-05-04 15:34:16															Active																																																																																													2021-02-23 14:32:02	Matthew Caulkins	2021-02-23 14:45:44	Matthew Caulkins		Image (jpg)	Landscape	25767	150	200	thumbABIES_NEPHROLEPIS_352-97_SDSTEXT.JPG	1														SHIP images/ABIES	false	false		16622		General			
thumbABIES_NEPHROLEPIS_308-97_SDTEXT.JPG	16621	Abies_nephrolepis_308-97_SDtext						SHIP images/ABIES	2006-05-04 15:55:33															Active																																																																																													2021-02-23 14:32:00	Matthew Caulkins	2021-02-23 14:45:44	Matthew Caulkins		Image (jpg)	Landscape	22674	150	200	thumbABIES_NEPHROLEPIS_308-97_SDTEXT.JPG	1														SHIP images/ABIES	false	false		16621		General			
thumbABIES_NEPHROLEPIS_308-97_SDSTEXT.JPG	16620	Abies_nephrolepis_308-97_SDS						SHIP images/ABIES	2006-05-04 15:54:34															Active																																																																																													2021-02-23 14:31:58	Matthew Caulkins	2021-02-23 14:45:44	Matthew Caulkins		Image (jpg)	Landscape	23650	150	200	thumbABIES_NEPHROLEPIS_308-97_SDSTEXT.JPG	1														SHIP images/ABIES	false	false		16620		General			
thumbABIES_NEPHROLEPIS_308-97_SDSANDTEXT.JPG	16619	Abies_nephrolepis_308-97_SDSAND1						SHIP images/ABIES	2006-05-04 15:59:38															Active																																																																																													2021-02-23 14:31:56	Matthew Caulkins	2021-02-23 14:45:44	Matthew Caulkins		Image (jpg)	Landscape	27482	150	200	thumbABIES_NEPHROLEPIS_308-97_SDSANDTEXT.JPG	1														SHIP images/ABIES	false	false		16619		General			
